# Efinity GPIO Pin Assignment
# Version: 2019.2.192
# Date: 2019-10-20 21:06
#
# Copyright (C) 2017 - 2019 Efinix Inc. All rights reserved.
#
# Device: T8F81
# Package: 81-ball FBGA (final)
# Project: counter
# Configuration mode: active (x1)
# Timing Model: C2 (final)
Package Pin-Pad Name,Instance Name,Mode
G5-GPIOL_00,,
J4-GPIOL_01_SS_N,,
H4-GPIOL_02_CCK,,
G4-GPIOL_03_CDI4,,
F4-GPIOL_04_CDI0,,
J3-GPIOL_05_CDI5,,
H3-GPIOL_06_CDI1,,
G3-GPIOL_07_CDI6,,
J2-GPIOL_09_CDI2,,
H2-GPIOL_10_CDI7,,
F3-GPIOL_11_CDI3,,
G1-GPIOL_12_CTRL0,,
F1-GPIOL_13_CTRL1,,
E2-GPIOL_14_CLK0,,
E1-GPIOL_15_CLK1,,
C2-GPIOL_16_CLK2,,
D2-GPIOL_17_CLK3,,
E3-GPIOL_18_CTRL2,,
D3-GPIOL_19_CTRL3,,
C3-GPIOL_20_PLLIN,pll_inst1_CLKIN,input
B3-GPIOL_21_NSTATUS,,
A5-GPIOR_00,,
B5-GPIOR_01,,
C5-GPIOR_02_RESERVED_OUT,LED[0],output
A6-GPIOR_03,,
B6-GPIOR_05,LED[1],output
C6-GPIOR_06,,
C7-GPIOR_07,LED[2],output
A8-GPIOR_08,,
A9-GPIOR_10,LED[3],output
B8-GPIOR_11,,
C8-GPIOR_12,,
D6-GPIOR_13,,
B9-GPIOR_14,,
C9-GPIOR_15_CBUS0,,
D7-GPIOR_16_CTRL7_CBUS1,,
D8-GPIOR_17_CTRL6_CBUS2,,
D9-GPIOR_18_CLK7,,
E8-GPIOR_19_CLK6,,
F8-GPIOR_20_CLK5,,
E7-GPIOR_21_CLK4_CBSEL1,,
F7-GPIOR_22_CTRL5,,
E6-GPIOR_23_CTRL4,,
F6-GPIOR_24,,
F5-GPIOR_25,,
G9-GPIOR_26_CBSEL0,,
H9-GPIOR_27,,
J9-GPIOR_28,BTN[0],input
J8-GPIOR_30,BTN[1],input
G8-GPIOR_31,,
H8-GPIOR_32,,
J7-GPIOR_34_CSI,,
G6-GPIOR_35_CSO,,
H6-GPIOR_36,,
J6-GPIOR_37_TEST_N,,
